城市,最高景点评分_加权得分,常住人口(万人)_加权得分,城镇化率(%)_加权得分,PM2.5浓度_加权得分,空气质量优良天数比例(%)_加权得分,污水处理率(%)_加权得分,垃圾处理率(%)_加权得分,图书馆藏书量(万册)_加权得分,博物馆数量_加权得分,公共交通客运总量(万人次)_加权得分,客运量(万人次)_加权得分,地区生产总值(亿元)_加权得分,人均地区生产总值(元)_加权得分,综合得分
长沙,0.3327482474650192,0.026069070929463038,0.0002544099119523368,0.005247874396656168,0.0003215800400677043,0.002914107122289962,0.010175376934152148,0.0050556570275350635,0.012112081193273574,0.036943371690897606,0.0004071625994589972,0.010729641208059039,0.033515798863052705,0.4764943793818776
郑州,0.3194383175664184,0.03241499861433719,0.00023892971561489802,0.0033736335407075365,0.00022539827264839778,0.005991147823369738,0.010175376934152148,0.006980876267122719,0.029991820097629802,0.03090549508850909,0.00035316680955885834,0.01018688783770451,0.024158540362054587,0.4744345889298278
合肥,0.3327482474650192,0.024393746020656262,0.00026286149546804157,0.006747267081415073,0.00031462535842353897,0.005534399594303208,0.010175376934152148,0.006620875921508768,0.023647396615438885,0.018783359747271418,0.00027742006542332795,0.009469297947487881,0.03148078593082776,0.47045566017739554
东莞,0.3327482474650192,0.026018303507984047,0.00029425309138351633,0.011620293306881514,0.000324909408939911,0.0059230362453510455,0.010175376934152148,0.010244357661057892,0.029991820097629802,0.005034335831694729,0.00016961928346722048,0.008529741692924581,0.02532348355964957,0.46639777808613525
温州,0.3327482474650192,0.02416529262400079,0.00021590346256700852,0.010120900622122609,0.00035720428700031665,0.005820201117754193,0.010175376934152148,0.013601752188631487,0.03287564895317113,0.0066541968096003185,0.0009198364067440606,0.006471991870025833,0.019527571928077067,0.4636541246688662
烟台,0.3327482474650192,0.01723553959211821,0.00019248912660258161,0.009746052450932883,0.0003016038268344637,0.00583355632913041,0.010175376934152148,0.004922613421547298,0.031145351639846334,0.007258335849660842,0.0005775021271866827,0.007559779087080916,0.035687706726221124,0.46338415457633314
绍兴,0.3327482474650192,0.013072611030840764,0.0002091766920136925,0.00899635610855343,0.00034599541179722055,0.005829549765717545,0.010175376934152148,0.0070434850228816666,0.03806654089314552,0.002861168761263757,0.0002495635801744931,0.005757442614937241,0.03591071777424403,0.46126623205474065
佛山,0.3327482474650192,0.023809920673647837,0.00030529189434280415,0.010870596964502061,0.0003207292013559181,0.005471630100835002,0.010175376934152148,0.006847832661134955,0.016726207362139697,0.008308024503600818,0.00044589456182552784,0.009926913534257386,0.03399062531550093,0.45994729117231425
鄂尔多斯,0.3327482474650192,0.005025974726420333,0.0002354369693660608,0.011995141478071241,0.00031751081144611827,0.00599248334450736,0.010175376934152148,0.002410437096719504,0.013265612735490104,0.001148075004007997,2.041536932620089e-05,0.004281974419057496,0.07145796614398735,0.45907465249757107
洛阳,0.3327482474650192,0.017362458145815694,0.00018468434794777265,0.0022490890271383577,0.00024574441575632807,0.006065937007076536,0.010175376934152148,0.004022612557512419,0.05825334288193481,0.00715221914351605,0.0006483310744900059,0.004002235987278132,0.01584922592027459,0.45895950490791204
潍坊,0.3327482474650192,0.02317532790516042,0.00017907870582000931,0.005622722567845895,0.00025891391929527916,0.00587228644212143,0.010175376934152148,0.006933919700303508,0.04671802745976951,0.0034109610555724226,9.61621134617313e-05,0.005616813240265549,0.01689924864438774,0.45770708615317485
榆林,0.3327482474650192,0.008554310519210363,0.00016778118091636315,0.010495748793312335,0.00031566116207267,0.0054489262414954345,0.010175376934152148,0.0021834803570933165,0.023647396615438885,0.002945968424893811,0.000151875083959401,0.005225331467530841,0.05116039734836918,0.453220501593464
南通,0.3327482474650192,0.019063166765361968,0.00020702067581070656,0.009371204279743157,0.0003056730554560497,0.005667951708065351,0.010175376934152148,0.007544355068953253,0.017302973133247964,0.0023647861998491587,0.00031748761269904935,0.00881480123617801,0.038142609967240185,0.4520256541017761
石家庄,0.3327482474650192,0.027896698102706795,0.00020564082544079565,0.0029987853695178104,0.00022576820252308744,0.006039226584324107,0.010175376934152148,0.006566093260219688,0.03691300935092899,0.00944063879545527,0.0002972630412170186,0.005562081807960891,0.012780225678840948,0.4518490554183067
昆明,0.3327482474650192,0.021423851864135156,0.00024893363079675257,0.010870596964502061,0.00035720428700031665,0.005681306919441567,0.010175376934152148,0.003302611866284515,0.022493865073222354,0.017043326870354175,0.0008658406168439219,0.005813694364805917,0.019824524055937116,0.4508493809124952
常州,0.3327482474650192,0.013047227320101265,0.00023246166700594028,0.006747267081415073,0.00028791642147094694,0.00523791390175125,0.010175376934152148,0.004226091013729,0.016726207362139697,0.004615256831047859,0.0003711018069108479,0.007524811783108496,0.04879071936804595,0.4507305989558978
厦门,0.3327482474650192,0.012920308766403784,0.0002855427859234533,0.011995141478071241,0.00036523176528108176,0.006065937007076536,0.010175376934152148,0.00787305103668773,0.0017302973133247962,0.018528492249952358,0.00048748849185461005,0.0059664862799897545,0.037901781791545686,0.4470433833652823
泉州,0.3327482474650192,0.02193152607892509,0.00019921589715589765,0.01124544513569179,0.00035228421966694443,0.005789484131588902,0.010175376934152148,0.009281748041264064,0.009805018108840513,0.0025774881185676372,0.00013184131032154033,0.00908769823891929,0.03355529349605809,0.4468806671761711
台州,0.3327482474650192,0.01642326084845432,0.00017338682304412646,0.01124544513569179,0.0003585730275366683,0.005749418497460257,0.010175376934152148,0.008741747522843136,0.031145351639846334,0.003021163706731511,0.00013165051247737022,0.004579196502823071,0.020535130497906222,0.44502794911398613
淄博,0.3327482474650192,0.011244983857597006,0.00022021549497298033,0.004123329883086989,0.0002357563091397077,0.005861602273020457,0.010175376934152148,0.0027078286865745075,0.0484483247730943,0.004159634328947154,2.423132620960292e-05,0.003302889907829722,0.02173867747212302,0.4449910987117668
沈阳,0.3327482474650192,0.010870846092518783,0.0002610073215334737,0.007122115252604799,0.0003226898296917732,0.005904338949424346,0.010175376934152148,0.0062452233869550785,0.01268884696438184,0.031450836571743246,0.0009200272045882307,0.0060090551717822665,0.019140940257603274,0.44385955140199834
嘉兴,0.3327482474650192,0.013554901534891197,0.00020939229363399112,0.008621507937363704,0.0003056730554560497,0.005873621963259051,0.010175376934152148,0.010213053283178416,0.019610036217681027,0.0031040893446459836,0.00016122417832373597,0.005203286862852576,0.03052370922273481,0.4403041202931919
济宁,0.3327482474650192,0.020306968591597304,0.00016584076633367582,0.0033736335407075365,0.00023871574813722483,0.005881635090084781,0.010175376934152148,0.0027939157257430612,0.04037360397757858,0.006177023011770429,0.0001738168360389627,0.004028081385866443,0.012673916817067048,0.4391107758900964
南昌,0.3327482474650192,0.016067888898101367,0.00023711866200438984,0.007122115252604799,0.0003379679335164553,0.005985805738819252,0.010175376934152148,0.002778263536803324,0.015572675819923167,0.015599624309713228,0.00013432168229575163,0.0053180708389359566,0.02553966470873169,0.4376171417806207
临沂,0.3327482474650192,0.027160570491261395,0.00014475492786847365,0.004498178054276715,0.00023242694026750097,0.005860266751882836,0.010175376934152148,0.0036939165897779407,0.03402918049538767,0.00378108113439973,0.00010608360135857659,0.004475814908469828,0.009383687240377666,0.4362895855344997
岳阳,0.3327482474650192,0.012057262601260896,0.02679673730399528,0.005997570739035621,0.00031973039069425614,0.005665280665790108,0.010175376934152148,0.004140003974560447,0.009228252337732248,0.003296411233707515,0.0002821900115275805,0.0035157343667922814,0.021584856269891508,0.43580765429415896
克拉玛依,0.3327482474650192,0.0006345927684874158,0.000320772090680243,0.01124544513569179,0.0003430359727997034,0.006065937007076536,0.010175376934152148,0.0014713057603352817,0.0028838288555413268,0.0004692091885386692,0.0,0.0007936057684175441,0.06524602458128291,0.4323973815280228
珠海,0.3327482474650192,0.005711334916386742,0.0002858015078678116,0.012744837820450692,0.00033600730518060023,0.006020529288397408,0.010175376934152148,0.002230436923912528,0.005767657711082654,0.0068933693415513825,0.0007187354789887733,0.003052797668548714,0.0434277639388934,0.4301128963004321
扬州,0.3327482474650192,0.011041914171681032,0.00020788308229190096,0.006747267081415073,0.0002816276136012231,0.005491662917899323,0.010175376934152148,0.005580005357016254,0.009228252337732248,0.0018452125702042425,0.0001509210947385505,0.005477704183157876,0.0409434624372162,0.4299195372461253
太原,0.3327482474650192,0.013224913295277743,0.0002798940234716302,0.004123329883086989,0.0002345725335407009,0.006065937007076536,0.010175376934152148,0.005439135656558621,0.023070630844330618,0.006224621363259582,7.345717000548919e-05,0.004072170595222973,0.023254024180592865,0.4289863109515951
唐山,0.3327482474650192,0.018987015633143478,0.00018162280493953263,0.004498178054276715,0.0002487778407287831,0.005981799175406387,0.010175376934152148,0.008264355760181155,0.009228252337732248,0.003542142855663114,0.00015015790336187006,0.006777575700393509,0.028019511928490986,0.4288030143934891
